video_name,state,view,segment_duration,is_overlap,total_frames,actual_fps,flow_mean,flow_std,flow_max,orientation_mean,orientation_std,temporal_grad_mean,temporal_grad_std,temporal_grad_max,dominant_freq,flow_entropy,motion_consistency
angle_evm_segment_9_10s.avi,Unbalance_weight,angle,10,False,300,30.0,0.21142872,0.60638356,16.775522,-0.3486882,1.4974731779164199,0.35436091686091686,0.23208763576042857,1.2349186307519642,4.6763935652824546e-05,0.2919729259100957,2.8680148246263135
front_evm_segment_1_10s.avi,Unbalance_weight,front,10,False,300,30.0,1.2660774,2.093386,30.582235,2.1126351,1.534950300772727,1.5781221261293725,0.8678735486573349,4.918163112607557,0.00617283950617284,0.8546015502868922,1.6534410002282915
front_evm_segment_2_10s.avi,Unbalance_weight,front,10,False,300,30.0,1.5617404,4.045775,37.542625,-3.119927,1.3107446558245133,1.308226261124812,0.6414605283391612,3.368990834268612,0.00617283950617284,0.6176850448527225,2.5905536862907157
front_evm_segment_3_10s.avi,Unbalance_weight,front,10,False,300,30.0,0.4746426,0.65729356,13.180089,2.6261067,1.9437036563954104,0.8711826396005141,0.4518677623491377,2.67707164234942,2.3381967826412273e-05,0.7886125805455663,1.384814946973206
front_evm_segment_4_10s.avi,Unbalance_weight,front,10,False,300,30.0,0.8041208,1.70797,42.559742,2.0819035,2.350991721602338,1.229875867557027,0.5834622591765907,3.8284465020576133,0.00308641975308642,0.38584926794904784,2.124019107155178
front_evm_segment_5_10s.avi,Unbalance_weight,front,10,False,300,30.0,1.3035623,2.8101056,63.780952,-0.44128498,1.956124405896827,1.50280646174366,0.712287974007707,4.748807519640853,0.00308641975308642,0.4593556598595813,2.1557108870317014
front_evm_segment_6_10s.avi,Unbalance_weight,front,10,False,300,30.0,0.50124854,0.76135194,15.408837,3.124591,1.7337646097614166,0.8649739842372692,0.4429145649768335,2.4583333333333335,0.006149457538346428,0.6942180753440913,1.5189080179572043
front_evm_segment_7_10s.avi,Unbalance_weight,front,10,False,300,30.0,0.435364,0.6552538,15.08469,2.5436597,2.0271718093784674,0.8552233908514102,0.4462929247766635,2.451552562663674,2.3381967826412273e-05,0.6090318096964589,1.5050677376611294
front_evm_segment_8_10s.avi,Unbalance_weight,front,10,False,300,30.0,0.46586707,0.72193694,14.430877,2.4915135,2.3883646333093838,0.8869586644345097,0.4422938368718734,2.6849981294425738,0.00617283950617284,0.7015040475674338,1.549659622550903
front_evm_segment_9_10s.avi,Unbalance_weight,front,10,False,300,30.0,0.9083869,1.6443379,36.45665,-1.5542113,2.5118709061307594,1.6398002382301897,0.9501402211034113,5.082187616909839,7.793989275470757e-08,0.5256318878414211,1.810171533171913
angle_evm_segment_10_10s_50_overlap.avi,Unbalance_weight,angle,10,True,300,30.0,0.17585284,0.47445452,12.377046,-0.38545617,1.66958882540942,0.31990864297627586,0.20847539946596008,0.972035166479611,4.6763935652824546e-05,0.3200958451799614,2.698004974708776
angle_evm_segment_11_10s_50_overlap.avi,Unbalance_weight,angle,10,True,300,30.0,0.1897289,0.48679814,15.666613,-0.24301158,1.611221143465612,0.31522036292567696,0.23073712144029052,1.2144594089038534,4.6763935652824546e-05,0.29013429327140633,2.5657428554955706
angle_evm_segment_12_10s_50_overlap.avi,Unbalance_weight,angle,10,True,300,30.0,0.232973,0.68216765,15.541954,-0.49005648,1.675113642808706,0.3237016048006386,0.20823462315507366,1.1078843995510663,4.6763935652824546e-05,0.35436133573252593,2.928084960250838
angle_evm_segment_13_10s_50_overlap.avi,Unbalance_weight,angle,10,True,300,30.0,0.17769392,0.46532628,10.697189,-0.3359062,1.5346771346767323,0.28070545039144074,0.22072913284808865,1.0998643845866067,4.6763935652824546e-05,0.4056782900440309,2.6186808476546166
